qualification_code,sequence,unit_code,unit_name
SIT30821,14,SITHCCC035 ,Prepare poultry dishes 
SIT30821,15,SITHCCC037 ,Prepare seafood dishes
SIT30821,16,SITHCCC036 ,Prepare meat dishes  
SIT30821,17,SITHCCC043 ,Work effectively as a cook 
SIT30821,18,SITHCCC031 ,Prepare vegetarian and vegan dishes  
SIT30821,19,SITHCCC026 ,Package prepared foodstuffs
SIT30821,20,SITHCCC042 ,Prepare food to meet special dietary requirements
SIT30821,21,SITHCCC032 ,Produce cook-chill and cook-freeze foods   
SIT30821,22,SITXINV010 ,Plan and cost recipes 
SIT30821,23,HLTAID011 ,Provide First Aid  
SIT30821,24,SITHPAT016 ,Produce desserts
SIT30821,25,SITHCCC041 ,"Produce cakes, pastries and breads "
,,,
CHC33021A,1,CHCDIV001,Work with diverse people
CHC33021A,2,CHCLEG001,Work legally and ethically
CHC33021A,3,CHCCOM005,Communicate and work in health or community services
CHC33021A,4,CHCCCS041,Recognise healthy body systems
CHC33021A,5,HLTWHS002,Follow safe work practices for direct client care
CHC33021A,6,HLTAID011,Provide First Aid 
CHC33021A,7,HLTINF006,Apply basic principles and practices of infection prevention and control
CHC33021A,8,CHCCCS031,Provide individualised support
CHC33021A,9,CHCAGE013,Work effectively in aged care 
CHC33021A,10,CHCMHS001,Work with people mental health issues 
CHC33021A,11,CHCAGE011,Provide support to people living with dementia 
CHC33021A,12,CHCCCS044,Follow established person-centred behaviour supports
CHC33021A,13,CHCCCS040,Support independence and wellbeing 
CHC33021A,14,CHCCCCS038,Facilitate the empowerment of people receiving support
CHC33021A,15,CHCPAL003,Deliver care services using a palliative approach 
,,,
CHC30121,1,HLTWHS001,Participate in workplace health and safety
CHC30121,2,CHCPRT001,Identify and respond to children and young people at risk
CHC30121,3,CHCECE055,Meet legal and ethical obligations in children�s education and care
CHC30121,4,CHCECE056,Work effectively in children�s education and care
CHC30121,5,HLTAID012,Provide First Aid in an education and care setting
CHC30121,6,CHCECE034,Use an approved learning framework to guide practice
CHC30121,7,CHCECE037,Support children to connect with the natural environment
CHC30121,8,CHCPRP003,Reflect on and improve own professional practice
CHC30121,9,CHCECE030,Support inclusion and diversity
CHC30121,10,CHCECE054,Encourage understanding of Aboriginal and/or Torres Strait Islander peoples� cultures
CHC30121,11,CHCECE033,Develop positive and respectful relationships with children
CHC30121,12,CHCECE035,Support the holistic learning and development of children
CHC30121,13,CHCECE031,"Support children�s health, safety and wellbeing"
CHC30121,14,CHCECE032,Nurture babies and toddlers
CHC30121,15,CHCECE038,Observe children to inform practice
CHC30121,16,CHCECE036,Provide experiences to support children�s play and learning
CHC30121,17,CHCECE043,Nurture creativity in children

